Joint_L0_deg,Joint_L1_deg,Joint_L2_U_deg,Joint_L3_U_deg,Joint_L2_R_deg,Joint_L2_L_deg,Joint_L3_R_deg,Joint_L3_L_deg,Joint_L4_R_deg,Joint_L4_L_deg,Joint_L5_R_deg,Joint_L5_L_deg,Joint_L6_R_deg,Joint_L6_L_deg,Joint_L7_R_deg,Joint_L7_L_deg,Joint_L8_R_deg,Joint_L8_L_deg
0.00044812445412389934,0.0,0.0,0.0,16.470434188842773,-16.470949172973633,90.0,-90.0,76.42839050292969,-76.42909240722656,87.58244323730469,-87.58172607421875,91.651123046875,-91.6527328491211,8.715065002441406,-8.70832347869873,13.786087036132812,13.785667419433594
0.00045148617937229574,0.0,0.0,0.0,16.56867218017578,-16.569135665893555,90.0,-90.0,75.9684829711914,-75.96922302246094,87.48331451416016,-87.48257446289062,91.70092010498047,-91.70256042480469,9.17330265045166,-9.166566848754883,13.767812728881836,13.767313003540039
0.00045156621490605175,0.0,0.0,0.0,16.693788528442383,-16.69429588317871,90.0,-90.0,75.40229034423828,-75.40298461914062,87.35923767089844,-87.35855102539062,91.77276611328125,-91.77436828613281,9.736919403076172,-9.730186462402344,13.744577407836914,13.74415111541748
0.0004574625927489251,0.0,0.0,0.0,16.836143493652344,-16.83662986755371,90.0,-90.0,74.78469848632812,-74.78538513183594,87.21184539794922,-87.21116638183594,91.83145904541016,-91.83306121826172,10.352470397949219,-10.345732688903809,13.718103408813477,13.717669486999512
0.00046417940757237375,0.0,0.0,0.0,17.007863998413086,-17.008344650268555,90.0,-90.0,74.06806945800781,-74.06879425048828,87.04246520996094,-87.04180145263672,91.93287658691406,-91.93450164794922,11.064970970153809,-11.05821704864502,13.686431884765625,13.68592357635498
0.0004607909941114485,0.0,0.0,0.0,17.194162368774414,-17.194602966308594,90.0,-90.0,73.32568359375,-73.32637786865234,86.85352325439453,-86.85285949707031,92.02543640136719,-92.02706146240234,11.803569793701172,-11.796810150146484,13.651833534240723,13.651334762573242
0.00045847645378671587,0.0,0.0,0.0,17.397172927856445,-17.397592544555664,90.0,-90.0,72.55109405517578,-72.55179595947266,86.64752960205078,-86.64688873291016,92.12796783447266,-92.12960815429688,12.573718070983887,-12.5669584274292,13.61387825012207,13.613349914550781
0.00046867504715919495,0.0,0.0,0.0,17.624408721923828,-17.624845504760742,90.0,-90.0,71.71810913085938,-71.71879577636719,86.42768859863281,-86.42707061767578,92.27680969238281,-92.27842712402344,13.399401664733887,-13.392658233642578,13.571250915527344,13.57071304321289
0.00046423941967077553,0.0,0.0,0.0,17.85620880126953,-17.856616973876953,90.0,-90.0,70.90524291992188,-70.90591430664062,86.19847869873047,-86.19786834716797,92.41424560546875,-92.41590118408203,14.205194473266602,-14.198427200317383,13.527135848999023,13.526557922363281
0.0004656334640458226,0.0,0.0,0.0,18.09323501586914,-18.0936336517334,90.0,-90.0,70.10614013671875,-70.10680389404297,85.96453094482422,-85.96392822265625,92.5580062866211,-92.5596694946289,14.99646282196045,-14.989700317382812,13.481279373168945,13.480694770812988
0.0004658802645280957,0.0,0.0,0.0,18.331178665161133,-18.33156394958496,90.0,-90.0,69.33244323730469,-69.33312225341797,85.73150634765625,-85.73090362548828,92.70903778076172,-92.71067810058594,15.761414527893066,-15.754661560058594,13.434479713439941,13.433865547180176
